,X,Y,Bed
5,-297500.0,-1800000.0,58.754973293344285
25,-287500.0,-1800000.0,358.3171341134039
45,-277500.0,-1800000.0,261.1748538438642
65,-267500.0,-1800000.0,327.879624850758
85,-257500.0,-1800000.0,325.3850148258843
105,-247500.0,-1800000.0,285.11570854217484
125,-237500.0,-1800000.0,460.0962989548815
145,-227500.0,-1800000.0,346.5232214726577
165,-217500.0,-1800000.0,372.3216115457848
185,-207500.0,-1800000.0,232.7496199952116
205,-197500.0,-1800000.0,254.0514690468786
225,-187500.0,-1800000.0,382.9117757337864
245,-177500.0,-1800000.0,321.3336052564918
265,-167500.0,-1800000.0,408.9210511409616
285,-157500.0,-1800000.0,216.192874926962
306,-297000.0,-1799500.0,238.46732238390717
326,-287000.0,-1799500.0,248.1333127650358
346,-277000.0,-1799500.0,48.84437440275052
366,-267000.0,-1799500.0,168.46377699331353
386,-257000.0,-1799500.0,279.00929236311185
406,-247000.0,-1799500.0,348.85009779256563
426,-237000.0,-1799500.0,450.3829801685888
446,-227000.0,-1799500.0,397.8945515177397
466,-217000.0,-1799500.0,392.5918511385351
486,-207000.0,-1799500.0,266.3662913088245
506,-197000.0,-1799500.0,232.79746996202783
526,-187000.0,-1799500.0,370.8820530112203
546,-177000.0,-1799500.0,367.4044997547143
566,-167000.0,-1799500.0,334.6633917903173
586,-157000.0,-1799500.0,354.8906773011161
607,-296500.0,-1799000.0,86.11949584553349
627,-286500.0,-1799000.0,376.7078738601159
647,-276500.0,-1799000.0,94.07915940762298
667,-266500.0,-1799000.0,194.92962770327645
687,-256500.0,-1799000.0,246.48994445538523
707,-246500.0,-1799000.0,249.2101998224085
727,-236500.0,-1799000.0,394.9555926596505
747,-226500.0,-1799000.0,431.5132204625641
767,-216500.0,-1799000.0,410.2536200851081
787,-206500.0,-1799000.0,334.5415308363388
807,-196500.0,-1799000.0,467.1038072889396
827,-186500.0,-1799000.0,418.0912918579359
847,-176500.0,-1799000.0,369.509126678669
867,-166500.0,-1799000.0,382.7697526119148
887,-156500.0,-1799000.0,291.8678014822454
908,-296000.0,-1798500.0,-257.9164603045477
928,-286000.0,-1798500.0,380.8385132069615
948,-276000.0,-1798500.0,99.7465196115151
968,-266000.0,-1798500.0,-10.497294337905284
988,-256000.0,-1798500.0,216.7332711711907
1008,-246000.0,-1798500.0,285.46676905318327
1028,-236000.0,-1798500.0,415.5218103500432
1048,-226000.0,-1798500.0,407.4915797582354
1068,-216000.0,-1798500.0,307.0930428693266
1088,-206000.0,-1798500.0,428.1884799672949
1108,-196000.0,-1798500.0,446.362089980344
1128,-186000.0,-1798500.0,315.80247079953654
1148,-176000.0,-1798500.0,295.34654663338216
1168,-166000.0,-1798500.0,296.00778487111137
1188,-156000.0,-1798500.0,370.9783946271525
1209,-295500.0,-1798000.0,40.73765496927784
1229,-285500.0,-1798000.0,333.85772776542746
1249,-275500.0,-1798000.0,48.77089386750953
1269,-265500.0,-1798000.0,44.375418644811774
1289,-255500.0,-1798000.0,274.9799630219726
1309,-245500.0,-1798000.0,309.5283572239756
1329,-235500.0,-1798000.0,427.4022606082191
1349,-225500.0,-1798000.0,319.7740256811078
1369,-215500.0,-1798000.0,352.70515165470107
1389,-205500.0,-1798000.0,360.51178703941713
1409,-195500.0,-1798000.0,391.106603249246
1429,-185500.0,-1798000.0,306.0128346277269
1449,-175500.0,-1798000.0,207.4414857020815
1469,-165500.0,-1798000.0,312.3217177256254
1489,-155500.0,-1798000.0,336.62511242889474
1510,-295000.0,-1797500.0,187.8129238501809
1530,-285000.0,-1797500.0,369.9639127897396
1550,-275000.0,-1797500.0,308.9555239084634
1570,-265000.0,-1797500.0,-70.78385970261769
1590,-255000.0,-1797500.0,281.94532432457294
1610,-245000.0,-1797500.0,286.90143869933337
1630,-235000.0,-1797500.0,390.97169878213776
1650,-225000.0,-1797500.0,421.87651163126674
1670,-215000.0,-1797500.0,331.0674178082531
1690,-205000.0,-1797500.0,441.7642291651754
1710,-195000.0,-1797500.0,427.2160486699619
1730,-185000.0,-1797500.0,416.7193048180306
1750,-175000.0,-1797500.0,229.60570371960415
1770,-165000.0,-1797500.0,407.8192971126162
