,X,Y,Bed
304,-298000.0,-1799500.0,310.8299907238783
314,-293000.0,-1799500.0,173.50306600774667
324,-288000.0,-1799500.0,315.7676642156934
334,-283000.0,-1799500.0,222.8441443081309
344,-278000.0,-1799500.0,109.53938879926936
354,-273000.0,-1799500.0,44.57278918291347
364,-268000.0,-1799500.0,315.2308978799262
374,-263000.0,-1799500.0,162.6036099336787
384,-258000.0,-1799500.0,304.3058487059576
394,-253000.0,-1799500.0,280.2397050317371
404,-248000.0,-1799500.0,235.39667856184715
414,-243000.0,-1799500.0,332.9293476949135
424,-238000.0,-1799500.0,409.9055715611208
434,-233000.0,-1799500.0,177.35885731966107
444,-228000.0,-1799500.0,419.0079023929837
454,-223000.0,-1799500.0,456.6484900282812
464,-218000.0,-1799500.0,411.5273925904869
474,-213000.0,-1799500.0,303.07801236557583
484,-208000.0,-1799500.0,340.2902742881492
494,-203000.0,-1799500.0,257.3445099206808
504,-198000.0,-1799500.0,305.27695786972976
514,-193000.0,-1799500.0,383.9328001577981
524,-188000.0,-1799500.0,410.4202524296449
534,-183000.0,-1799500.0,187.7830995410546
544,-178000.0,-1799500.0,223.0160245749468
554,-173000.0,-1799500.0,435.1728122052472
564,-168000.0,-1799500.0,426.4747192966486
574,-163000.0,-1799500.0,345.4801245422359
584,-158000.0,-1799500.0,318.9467818314008
594,-153000.0,-1799500.0,219.5401929088112
603,-298500.0,-1799000.0,335.5656329066788
613,-293500.0,-1799000.0,158.9584658949414
623,-288500.0,-1799000.0,106.69205937403268
633,-283500.0,-1799000.0,163.32074617883475
643,-278500.0,-1799000.0,100.32228046760407
653,-273500.0,-1799000.0,148.31235076544587
663,-268500.0,-1799000.0,324.5067117613179
673,-263500.0,-1799000.0,79.3523404722805
683,-258500.0,-1799000.0,337.42000657060805
693,-253500.0,-1799000.0,268.0620410944952
703,-248500.0,-1799000.0,196.78788936934637
713,-243500.0,-1799000.0,474.4986349928269
723,-238500.0,-1799000.0,440.79639309314456
733,-233500.0,-1799000.0,319.5338600788038
743,-228500.0,-1799000.0,322.8877532660697
753,-223500.0,-1799000.0,453.6452481501114
763,-218500.0,-1799000.0,374.9644968398444
773,-213500.0,-1799000.0,244.62940072758573
783,-208500.0,-1799000.0,277.58345981286624
793,-203500.0,-1799000.0,336.9345584655821
803,-198500.0,-1799000.0,452.8745091202144
813,-193500.0,-1799000.0,380.909827648842
823,-188500.0,-1799000.0,368.9551012090186
833,-183500.0,-1799000.0,261.7118667929713
843,-178500.0,-1799000.0,180.09381721562036
853,-173500.0,-1799000.0,454.4927356525261
863,-168500.0,-1799000.0,324.0687080274338
873,-163500.0,-1799000.0,317.8365548698955
883,-158500.0,-1799000.0,346.0126850950187
893,-153500.0,-1799000.0,226.07807601957748
902,-299000.0,-1798500.0,364.1933198429931
912,-294000.0,-1798500.0,121.6787215053952
922,-289000.0,-1798500.0,188.6887279732367
932,-284000.0,-1798500.0,262.2837530631444
942,-279000.0,-1798500.0,310.15615185332297
952,-274000.0,-1798500.0,309.97146527907427
962,-269000.0,-1798500.0,343.2482796775621
972,-264000.0,-1798500.0,93.40457059012064
982,-259000.0,-1798500.0,339.09314692040067
992,-254000.0,-1798500.0,233.645163084477
1002,-249000.0,-1798500.0,130.79436466201966
1012,-244000.0,-1798500.0,358.141972857664
1022,-239000.0,-1798500.0,385.6080940536432
1032,-234000.0,-1798500.0,311.48408525442795
1042,-229000.0,-1798500.0,389.7444891560668
1052,-224000.0,-1798500.0,426.8673968729997
1062,-219000.0,-1798500.0,285.1252623832533
1072,-214000.0,-1798500.0,199.83155161926743
1082,-209000.0,-1798500.0,424.81673550116415
1092,-204000.0,-1798500.0,357.7863902812262
1102,-199000.0,-1798500.0,462.29067350594767
1112,-194000.0,-1798500.0,447.379575900179
1122,-189000.0,-1798500.0,375.4886224925759
1132,-184000.0,-1798500.0,376.59605724499454
1142,-179000.0,-1798500.0,134.06426406313895
1152,-174000.0,-1798500.0,455.8772938189069
1162,-169000.0,-1798500.0,295.5752327273908
1172,-164000.0,-1798500.0,279.53837733644013
1182,-159000.0,-1798500.0,325.37700606522657
1192,-154000.0,-1798500.0,237.9005557629202
1201,-299500.0,-1798000.0,405.2750462574596
1211,-294500.0,-1798000.0,186.84061615228305
1221,-289500.0,-1798000.0,303.2703006860989
1231,-284500.0,-1798000.0,270.54277882072955
1241,-279500.0,-1798000.0,204.7080792129488
1251,-274500.0,-1798000.0,229.00411781110503
1261,-269500.0,-1798000.0,275.2913151787377
1271,-264500.0,-1798000.0,-114.99261012504398
1281,-259500.0,-1798000.0,378.5782270114054
1291,-254500.0,-1798000.0,277.2556556511531
1301,-249500.0,-1798000.0,251.04562288592425
1311,-244500.0,-1798000.0,335.5300908769613
1321,-239500.0,-1798000.0,377.275405302342
1331,-234500.0,-1798000.0,343.5186553045401
1341,-229500.0,-1798000.0,384.8967560559816
1351,-224500.0,-1798000.0,325.12155545566566
1361,-219500.0,-1798000.0,353.2177596965339
1371,-214500.0,-1798000.0,272.2953120303262
1381,-209500.0,-1798000.0,445.622276563033
1391,-204500.0,-1798000.0,379.7881601732944
1401,-199500.0,-1798000.0,304.30051452463533
1411,-194500.0,-1798000.0,365.4960844837465
1421,-189500.0,-1798000.0,389.6996793965218
1431,-184500.0,-1798000.0,392.7718482161
1441,-179500.0,-1798000.0,237.73057870698187
1451,-174500.0,-1798000.0,411.9790316191152
1461,-169500.0,-1798000.0,258.4137318252203
1471,-164500.0,-1798000.0,323.9517432789495
1481,-159500.0,-1798000.0,263.43150939534024
1491,-154500.0,-1798000.0,313.0174024564448
1500,-300000.0,-1797500.0,337.3736489666594
1510,-295000.0,-1797500.0,187.8129238501809
1520,-290000.0,-1797500.0,227.43641127097328
1530,-285000.0,-1797500.0,369.9639127897396
1540,-280000.0,-1797500.0,23.982324168679547
1550,-275000.0,-1797500.0,308.9555239084634
1560,-270000.0,-1797500.0,162.5856894925083
1570,-265000.0,-1797500.0,-70.78385970261769
