,X,Y,Bed
5,-297500.0,-1800000.0,58.754973293344285
15,-292500.0,-1800000.0,242.414734407699
25,-287500.0,-1800000.0,358.3171341134039
35,-282500.0,-1800000.0,129.9558585605893
45,-277500.0,-1800000.0,261.1748538438642
55,-272500.0,-1800000.0,180.12352134358068
65,-267500.0,-1800000.0,327.879624850758
75,-262500.0,-1800000.0,299.91623343091527
85,-257500.0,-1800000.0,325.3850148258843
95,-252500.0,-1800000.0,316.89566945445614
105,-247500.0,-1800000.0,285.11570854217484
115,-242500.0,-1800000.0,226.59873374894767
125,-237500.0,-1800000.0,460.0962989548815
135,-232500.0,-1800000.0,369.18415530913165
145,-227500.0,-1800000.0,346.5232214726577
155,-222500.0,-1800000.0,420.8247428409615
165,-217500.0,-1800000.0,372.3216115457848
175,-212500.0,-1800000.0,322.0227341294501
185,-207500.0,-1800000.0,232.7496199952116
195,-202500.0,-1800000.0,397.8155514783896
205,-197500.0,-1800000.0,254.0514690468786
215,-192500.0,-1800000.0,381.8384301471922
225,-187500.0,-1800000.0,382.9117757337864
235,-182500.0,-1800000.0,338.8756900446701
245,-177500.0,-1800000.0,321.3336052564918
255,-172500.0,-1800000.0,442.63568388321227
265,-167500.0,-1800000.0,408.9210511409616
275,-162500.0,-1800000.0,342.97677453189914
285,-157500.0,-1800000.0,216.192874926962
295,-152500.0,-1800000.0,297.24858747659937
305,-297500.0,-1799500.0,277.8644735465223
315,-292500.0,-1799500.0,331.2567250558584
325,-287500.0,-1799500.0,346.2213134074893
335,-282500.0,-1799500.0,251.68458044742172
345,-277500.0,-1799500.0,93.51018014046856
355,-272500.0,-1799500.0,72.85827150836394
365,-267500.0,-1799500.0,82.14540722414891
375,-262500.0,-1799500.0,209.79428490157056
385,-257500.0,-1799500.0,340.44133437839395
395,-252500.0,-1799500.0,273.5940877544967
405,-247500.0,-1799500.0,328.9910275454075
415,-242500.0,-1799500.0,315.62290023797533
425,-237500.0,-1799500.0,421.21620908213566
435,-232500.0,-1799500.0,316.57550651237034
445,-227500.0,-1799500.0,331.3959642644776
455,-222500.0,-1799500.0,411.313209416364
465,-217500.0,-1799500.0,323.17748124155435
475,-212500.0,-1799500.0,407.397469563567
485,-207500.0,-1799500.0,357.2554721203855
495,-202500.0,-1799500.0,253.978804012125
505,-197500.0,-1799500.0,291.17070430409416
515,-192500.0,-1799500.0,475.5406748364354
525,-187500.0,-1799500.0,464.90341436500864
535,-182500.0,-1799500.0,284.88677726894184
545,-177500.0,-1799500.0,342.15659179093103
555,-172500.0,-1799500.0,413.7712083176463
565,-167500.0,-1799500.0,427.0628488624028
575,-162500.0,-1799500.0,368.7704465431623
585,-157500.0,-1799500.0,319.8673977325138
595,-152500.0,-1799500.0,319.31586141906337
605,-297500.0,-1799000.0,265.0100601721751
615,-292500.0,-1799000.0,340.5504065622368
625,-287500.0,-1799000.0,302.92929445893293
635,-282500.0,-1799000.0,278.96635630854195
645,-277500.0,-1799000.0,-62.39549724362142
655,-272500.0,-1799000.0,22.446780619084112
665,-267500.0,-1799000.0,250.4122306188112
675,-262500.0,-1799000.0,173.22249586439335
685,-257500.0,-1799000.0,254.12106912833104
695,-252500.0,-1799000.0,261.6422180097239
705,-247500.0,-1799000.0,257.1919641243668
715,-242500.0,-1799000.0,350.30862110957526
725,-237500.0,-1799000.0,425.1991159614837
735,-232500.0,-1799000.0,217.79039353981852
745,-227500.0,-1799000.0,360.9746633053107
755,-222500.0,-1799000.0,389.7024524615846
765,-217500.0,-1799000.0,351.6367555090437
775,-212500.0,-1799000.0,466.69558243632457
785,-207500.0,-1799000.0,306.85534983857895
795,-202500.0,-1799000.0,287.98992500443
805,-197500.0,-1799000.0,285.61937001252875
815,-192500.0,-1799000.0,426.185102550946
825,-187500.0,-1799000.0,446.88229986278577
835,-182500.0,-1799000.0,188.4915569427008
845,-177500.0,-1799000.0,218.9495422840453
855,-172500.0,-1799000.0,412.3289156517576
865,-167500.0,-1799000.0,329.59521788418
875,-162500.0,-1799000.0,335.4626784317241
885,-157500.0,-1799000.0,281.272175602388
895,-152500.0,-1799000.0,333.74107071044324
905,-297500.0,-1798500.0,301.3660247087481
915,-292500.0,-1798500.0,214.0594348700156
925,-287500.0,-1798500.0,362.0384789980467
935,-282500.0,-1798500.0,274.79368737987534
945,-277500.0,-1798500.0,180.49222448527576
955,-272500.0,-1798500.0,-26.168679805451763
965,-267500.0,-1798500.0,313.20525204824213
975,-262500.0,-1798500.0,131.96459694151173
985,-257500.0,-1798500.0,139.58628360558853
995,-252500.0,-1798500.0,342.26799125299374
1005,-247500.0,-1798500.0,338.6773067292436
1015,-242500.0,-1798500.0,362.6940573983897
1025,-237500.0,-1798500.0,299.83037883909725
1035,-232500.0,-1798500.0,185.49425264461223
1045,-227500.0,-1798500.0,372.2334335938084
1055,-222500.0,-1798500.0,440.3924759565565
1065,-217500.0,-1798500.0,315.7712454331054
1075,-212500.0,-1798500.0,478.60832891707753
1085,-207500.0,-1798500.0,284.48513889205395
1095,-202500.0,-1798500.0,400.8180808167786
1105,-197500.0,-1798500.0,421.766920152349
1115,-192500.0,-1798500.0,377.2876350467503
1125,-187500.0,-1798500.0,332.1493592280164
1135,-182500.0,-1798500.0,362.3614452888757
1145,-177500.0,-1798500.0,195.87211463655785
1155,-172500.0,-1798500.0,431.0082704801944
1165,-167500.0,-1798500.0,232.04211472759397
1175,-162500.0,-1798500.0,372.9527371957575
1185,-157500.0,-1798500.0,284.98674194054365
1195,-152500.0,-1798500.0,256.7244112672589
1205,-297500.0,-1798000.0,263.3011704177848
1215,-292500.0,-1798000.0,191.8893083339847
1225,-287500.0,-1798000.0,182.877052057932
1235,-282500.0,-1798000.0,270.46033228872034
1245,-277500.0,-1798000.0,42.82777077574158
1255,-272500.0,-1798000.0,-135.47618198649832
1265,-267500.0,-1798000.0,300.39365609981485
1275,-262500.0,-1798000.0,120.48869315603632
1285,-257500.0,-1798000.0,301.6202915144671
1295,-252500.0,-1798000.0,313.45711648887846
1305,-247500.0,-1798000.0,328.6071214639041
1315,-242500.0,-1798000.0,288.59755711561206
1325,-237500.0,-1798000.0,378.7466889984241
1335,-232500.0,-1798000.0,292.144313108624
1345,-227500.0,-1798000.0,335.1023036472099
1355,-222500.0,-1798000.0,414.7160066060417
1365,-217500.0,-1798000.0,161.48516514869803
1375,-212500.0,-1798000.0,329.61827480429093
1385,-207500.0,-1798000.0,418.5809530986832
1395,-202500.0,-1798000.0,450.4872892531952
1405,-197500.0,-1798000.0,461.2938928884134
1415,-192500.0,-1798000.0,392.0806869538415
1425,-187500.0,-1798000.0,429.14794594813134
1435,-182500.0,-1798000.0,412.9431639457456
1445,-177500.0,-1798000.0,207.3514099345922
1455,-172500.0,-1798000.0,316.0790044452852
1465,-167500.0,-1798000.0,12.49488310723446
1475,-162500.0,-1798000.0,366.4249135805762
1485,-157500.0,-1798000.0,302.94481483396925
1495,-152500.0,-1798000.0,243.35304558517083
1505,-297500.0,-1797500.0,149.90376922367926
1515,-292500.0,-1797500.0,137.73082530935304
1525,-287500.0,-1797500.0,357.553278319797
1535,-282500.0,-1797500.0,281.1172519833525
1545,-277500.0,-1797500.0,72.8701031261669
1555,-272500.0,-1797500.0,131.79881102161136
1565,-267500.0,-1797500.0,295.6763727622276
1575,-262500.0,-1797500.0,120.581910190691
1585,-257500.0,-1797500.0,257.7724221810595
1595,-252500.0,-1797500.0,343.7130619906953
1605,-247500.0,-1797500.0,317.5866682873011
1615,-242500.0,-1797500.0,251.8136165527679
1625,-237500.0,-1797500.0,410.11772054807886
1635,-232500.0,-1797500.0,303.4370423445323
1645,-227500.0,-1797500.0,423.7192421916415
1655,-222500.0,-1797500.0,456.5344999874592
1665,-217500.0,-1797500.0,314.2944639563037
1675,-212500.0,-1797500.0,325.1428520569565
1685,-207500.0,-1797500.0,444.3917990543859
1695,-202500.0,-1797500.0,380.70374552740736
1705,-197500.0,-1797500.0,453.062953897406
1715,-192500.0,-1797500.0,334.24564744080647
1725,-187500.0,-1797500.0,397.97400758571325
1735,-182500.0,-1797500.0,287.96660675010605
1745,-177500.0,-1797500.0,231.52340387270823
1755,-172500.0,-1797500.0,329.8600597343428
1765,-167500.0,-1797500.0,21.139197418798027
1775,-162500.0,-1797500.0,292.13970625539497
1785,-157500.0,-1797500.0,318.9436744747236
1795,-152500.0,-1797500.0,244.37609283752852
1805,-297500.0,-1797000.0,224.81539985332236
1815,-292500.0,-1797000.0,199.22631245072608
1825,-287500.0,-1797000.0,253.3492700249984
1835,-282500.0,-1797000.0,74.5036307401484
1845,-277500.0,-1797000.0,97.12173223221772
1855,-272500.0,-1797000.0,74.08632937431967
1865,-267500.0,-1797000.0,343.81794771214027
1875,-262500.0,-1797000.0,312.71113050937566
1885,-257500.0,-1797000.0,208.0408012449299
1895,-252500.0,-1797000.0,348.85309438419864
1905,-247500.0,-1797000.0,429.6738557576492
1915,-242500.0,-1797000.0,295.4891011408006
1925,-237500.0,-1797000.0,401.1871626265714
1935,-232500.0,-1797000.0,308.0403626416946
1945,-227500.0,-1797000.0,407.19410819209867
1955,-222500.0,-1797000.0,471.7590059543546
1965,-217500.0,-1797000.0,377.3798171465414
1975,-212500.0,-1797000.0,175.28838699964206
1985,-207500.0,-1797000.0,447.9608836901542
1995,-202500.0,-1797000.0,217.4973692602361
2005,-197500.0,-1797000.0,425.09579917956495
2015,-192500.0,-1797000.0,280.2857279824322
2025,-187500.0,-1797000.0,435.5826647403083
2035,-182500.0,-1797000.0,90.27216707039746
2045,-177500.0,-1797000.0,171.88449559888747
2055,-172500.0,-1797000.0,400.633930241189
2065,-167500.0,-1797000.0,265.482373960691
2075,-162500.0,-1797000.0,274.01891976504555
2085,-157500.0,-1797000.0,279.6653399963141
2095,-152500.0,-1797000.0,245.0584725281196
2105,-297500.0,-1796500.0,289.8215003878348
2115,-292500.0,-1796500.0,262.3917127857247
2125,-287500.0,-1796500.0,146.1051092087612
2135,-282500.0,-1796500.0,135.63586026312055
2145,-277500.0,-1796500.0,323.84866068613366
2155,-272500.0,-1796500.0,306.23169972639784
2165,-267500.0,-1796500.0,258.5776757204728
2175,-262500.0,-1796500.0,174.7445935162353
2185,-257500.0,-1796500.0,154.70021787646505
2195,-252500.0,-1796500.0,325.50296466245254
2205,-247500.0,-1796500.0,394.958582604123
2215,-242500.0,-1796500.0,285.9744066089754
2225,-237500.0,-1796500.0,471.2637688690253
2235,-232500.0,-1796500.0,303.57326596374526
2245,-227500.0,-1796500.0,396.0765584717561
2255,-222500.0,-1796500.0,434.8363675345316
2265,-217500.0,-1796500.0,241.77192121222464
2275,-212500.0,-1796500.0,200.577139151416
2285,-207500.0,-1796500.0,396.4826670949344
2295,-202500.0,-1796500.0,314.3290626462538
2305,-197500.0,-1796500.0,334.1453567128878
2315,-192500.0,-1796500.0,262.9512345074572
2325,-187500.0,-1796500.0,394.2408836613057
2335,-182500.0,-1796500.0,383.4481126291989
2345,-177500.0,-1796500.0,143.8199805593668
2355,-172500.0,-1796500.0,369.5444751935949
2365,-167500.0,-1796500.0,250.94325904545724
2375,-162500.0,-1796500.0,181.36444400031607
2385,-157500.0,-1796500.0,296.45210378944694
2395,-152500.0,-1796500.0,267.44777222903963
2405,-297500.0,-1796000.0,210.7126874176067
2415,-292500.0,-1796000.0,272.2071242185318
2425,-287500.0,-1796000.0,217.6380314796974
2435,-282500.0,-1796000.0,188.05427572414607
2445,-277500.0,-1796000.0,332.84110400870907
2455,-272500.0,-1796000.0,195.45055341572424
2465,-267500.0,-1796000.0,386.4377674496489
2475,-262500.0,-1796000.0,349.6834783909728
2485,-257500.0,-1796000.0,261.9036410278516
2495,-252500.0,-1796000.0,404.53091391067846
2505,-247500.0,-1796000.0,343.928623266664
2515,-242500.0,-1796000.0,275.99132865545977
2525,-237500.0,-1796000.0,462.3201278343869
2535,-232500.0,-1796000.0,393.6869532994521
2545,-227500.0,-1796000.0,287.2999953197749
2555,-222500.0,-1796000.0,380.06066439597214
2565,-217500.0,-1796000.0,131.82889664781294
2575,-212500.0,-1796000.0,272.5282030881776
2585,-207500.0,-1796000.0,346.4002351248598
2595,-202500.0,-1796000.0,280.41524262012933
