,x,y,bedrock_altitude (m)
5,-1617499.8,-249999.72,388.73248060017454
25,-1607499.8,-249999.72,-283.6416860927493
45,-1597499.8,-249999.72,-669.5348640756976
65,-1587499.8,-249999.72,-1204.0090306477528
85,-1577499.8,-249999.72,-1313.2612305509865
105,-1567499.8,-249999.72,-1141.0395276486577
125,-1557499.8,-249999.72,-289.3138508483076
145,-1547499.8,-249999.72,-941.8251818589184
165,-1537499.8,-249999.72,-1054.3359455584614
185,-1527499.8,-249999.72,-738.3323350042983
206,-1616999.8,-249499.72,389.17214144731474
226,-1606999.8,-249499.72,-321.9733801418533
246,-1596999.8,-249499.72,-715.1166541084907
266,-1586999.8,-249499.72,-1260.596520717399
286,-1576999.8,-249499.72,-1265.7219259412454
306,-1566999.8,-249499.72,-1051.1314560903725
326,-1556999.8,-249499.72,-413.86665511119344
346,-1546999.8,-249499.72,-905.1624442540852
366,-1536999.8,-249499.72,-1083.105712881361
386,-1526999.8,-249499.72,-696.8360328614377
407,-1616499.8,-248999.72,386.8695806375073
427,-1606499.8,-248999.72,-346.42851022792803
447,-1596499.8,-248999.72,-560.579009477983
467,-1586499.8,-248999.72,-1280.7958467815806
487,-1576499.8,-248999.72,-1276.7244877245862
507,-1566499.8,-248999.72,-1069.9974521712
527,-1556499.8,-248999.72,-618.5142328711958
547,-1546499.8,-248999.72,-940.706117674677
567,-1536499.8,-248999.72,-1058.9504455835306
587,-1526499.8,-248999.72,-643.0716875530061
608,-1615999.8,-248499.72,352.62283407003224
628,-1605999.8,-248499.72,-432.3139383939193
648,-1595999.8,-248499.72,-701.3931849091746
668,-1585999.8,-248499.72,-1213.2015835998172
688,-1575999.8,-248499.72,-1291.7411362121925
708,-1565999.8,-248499.72,-930.2444514887892
728,-1555999.8,-248499.72,-137.81551251243943
748,-1545999.8,-248499.72,-879.8380851693205
768,-1535999.8,-248499.72,-1014.032581869674
788,-1525999.8,-248499.72,-594.9165362347165
809,-1615499.8,-247999.72,324.1334956489303
829,-1605499.8,-247999.72,-595.8395681076612
849,-1595499.8,-247999.72,-900.0423297153168
869,-1585499.8,-247999.72,-1183.384153289319
889,-1575499.8,-247999.72,-1262.33849417517
909,-1565499.8,-247999.72,-942.9709536439484
929,-1555499.8,-247999.72,-663.2029583925745
949,-1545499.8,-247999.72,-821.3873306538472
969,-1535499.8,-247999.72,-969.6458595066604
989,-1525499.8,-247999.72,-614.746663364409
1010,-1614999.8,-247499.72,343.07867789470833
1030,-1604999.8,-247499.72,-515.178664592334
1050,-1594999.8,-247499.72,-805.1652071119075
1070,-1584999.8,-247499.72,-1211.6196632021877
1090,-1574999.8,-247499.72,-1248.2142351504335
1110,-1564999.8,-247499.72,-981.5068337992368
1130,-1554999.8,-247499.72,-795.3671460147978
1150,-1544999.8,-247499.72,-861.6185902588713
1170,-1534999.8,-247499.72,-838.3200049805979
1190,-1524999.8,-247499.72,-647.4856956633873
1211,-1614499.8,-246999.72,257.9489250548055
1231,-1604499.8,-246999.72,-425.7361173623748
1251,-1594499.8,-246999.72,-765.300468934719
1271,-1584499.8,-246999.72,-1232.8376226148005
1291,-1574499.8,-246999.72,-1157.2880629029692
1311,-1564499.8,-246999.72,-874.1866715150192
1331,-1554499.8,-246999.72,-841.8727371711808
1351,-1544499.8,-246999.72,-972.1173597623348
1371,-1534499.8,-246999.72,-888.099328710637
1391,-1524499.8,-246999.72,-678.6428007783962
1412,-1613999.8,-246499.72,73.01200318047295
1432,-1603999.8,-246499.72,-16.38036737820345
1452,-1593999.8,-246499.72,-841.0060157574478
1472,-1583999.8,-246499.72,-1261.9986542612817
1492,-1573999.8,-246499.72,-1151.9527077038192
1512,-1563999.8,-246499.72,-981.4639749729776
1532,-1553999.8,-246499.72,-1071.7897555667405
1552,-1543999.8,-246499.72,-1000.67485631231
1572,-1533999.8,-246499.72,-763.13601705977
1592,-1523999.8,-246499.72,-597.284144877396
1613,-1613499.8,-245999.72,60.66965412435104
1633,-1603499.8,-245999.72,-322.3300591105913
1653,-1593499.8,-245999.72,-905.1095078409855
1673,-1583499.8,-245999.72,-1313.8095699511805
1693,-1573499.8,-245999.72,-1222.4281387147564
1713,-1563499.8,-245999.72,-885.2899496666774
