,x,y,bedrock_altitude (m)
1000,-1619999.8,-247499.72,-4.78286737838442
1001,-1619499.8,-247499.72,15.649090503102734
1002,-1618999.8,-247499.72,61.70704275354282
1003,-1618499.8,-247499.72,84.61332377921033
1004,-1617999.8,-247499.72,239.4598070020281
1005,-1617499.8,-247499.72,241.2679891693145
1006,-1616999.8,-247499.72,329.29412081483247
1007,-1616499.8,-247499.72,361.4278474997137
1008,-1615999.8,-247499.72,339.9227912900701
1009,-1615499.8,-247499.72,343.9759963358268
1010,-1614999.8,-247499.72,343.07867789470833
1011,-1614499.8,-247499.72,281.04217926679013
1012,-1613999.8,-247499.72,257.2291165940636
1013,-1613499.8,-247499.72,83.97729327443761
1014,-1612999.8,-247499.72,-51.33391557615445
1015,-1612499.8,-247499.72,-127.69292085634235
1016,-1611999.8,-247499.72,-238.3998644049024
1017,-1611499.8,-247499.72,-99.02088009637862
1018,-1610999.8,-247499.72,-94.78874744746102
1019,-1610499.8,-247499.72,-421.40902051059066
1020,-1609999.8,-247499.72,-503.707648449469
1021,-1609499.8,-247499.72,-407.2826789674704
1022,-1608999.8,-247499.72,-399.8813021520631
1023,-1608499.8,-247499.72,-71.3406913307261
1024,-1607999.8,-247499.72,-314.2330713089996
1025,-1607499.8,-247499.72,-598.6270044242896
1026,-1606999.8,-247499.72,-603.6846240720264
1027,-1606499.8,-247499.72,-501.7610432676994
1028,-1605999.8,-247499.72,-450.36154351855663
1029,-1605499.8,-247499.72,-566.6837838579921
1030,-1604999.8,-247499.72,-515.178664592334
1031,-1604499.8,-247499.72,-330.0595825222581
1032,-1603999.8,-247499.72,-109.7387250839961
1033,-1603499.8,-247499.72,-154.91458199417514
1034,-1602999.8,-247499.72,-350.11090905068045
1035,-1602499.8,-247499.72,-279.1173976095493
1036,-1601999.8,-247499.72,-315.64358716002914
1037,-1601499.8,-247499.72,-321.673539946481
1038,-1600999.8,-247499.72,-304.98184802428534
1039,-1600499.8,-247499.72,-429.8407154813194
1040,-1599999.8,-247499.72,-349.45676415814114
1041,-1599499.8,-247499.72,-502.79690089569766
1042,-1598999.8,-247499.72,-402.8657620070145
1043,-1598499.8,-247499.72,-74.50894427802837
1044,-1597999.8,-247499.72,-475.6693133294944
1045,-1597499.8,-247499.72,-519.812231248628
1046,-1596999.8,-247499.72,-645.3666991135809
1047,-1596499.8,-247499.72,-772.9635929009987
1048,-1595999.8,-247499.72,-878.955210850908
1049,-1595499.8,-247499.72,-841.8046550917364
1050,-1594999.8,-247499.72,-805.1652071119075
1051,-1594499.8,-247499.72,-760.9139159567914
1052,-1593999.8,-247499.72,-906.0735679845966
1053,-1593499.8,-247499.72,-806.2111103120131
1054,-1592999.8,-247499.72,-844.21694831645
1055,-1592499.8,-247499.72,-983.0517105477528
1056,-1591999.8,-247499.72,-1046.7149590785325
1057,-1591499.8,-247499.72,-1087.3776847276367
1058,-1590999.8,-247499.72,-1103.905875434541
1059,-1590499.8,-247499.72,-1132.0346656818676
1060,-1589999.8,-247499.72,-1161.9747332875927
1061,-1589499.8,-247499.72,-1219.641236666567
1062,-1588999.8,-247499.72,-1257.2412101026491
1063,-1588499.8,-247499.72,-1261.109370364015
1064,-1587999.8,-247499.72,-1165.3745067250316
1065,-1587499.8,-247499.72,-1139.936409459374
1066,-1586999.8,-247499.72,-1238.3000400191736
1067,-1586499.8,-247499.72,-1279.7531235316671
1068,-1585999.8,-247499.72,-1193.8292829157535
1069,-1585499.8,-247499.72,-1195.5841699722369
1070,-1584999.8,-247499.72,-1211.6196632021877
1071,-1584499.8,-247499.72,-1300.0406832675592
1072,-1583999.8,-247499.72,-1303.1760752597002
1073,-1583499.8,-247499.72,-1312.890790830637
1074,-1582999.8,-247499.72,-1316.4627424149444
1075,-1582499.8,-247499.72,-1273.411503801059
1076,-1581999.8,-247499.72,-1269.8109122290011
1077,-1581499.8,-247499.72,-1281.9453891935264
1078,-1580999.8,-247499.72,-1291.5744860054397
1079,-1580499.8,-247499.72,-1240.339060608995
1080,-1579999.8,-247499.72,-1245.4436441570424
1081,-1579499.8,-247499.72,-1268.7689397703316
1082,-1578999.8,-247499.72,-1307.8845471120842
1083,-1578499.8,-247499.72,-1257.307093199783
1084,-1577999.8,-247499.72,-1297.184051188019
1085,-1577499.8,-247499.72,-1272.5033690211012
1086,-1576999.8,-247499.72,-1289.008851612983
1087,-1576499.8,-247499.72,-1295.2043467909457
