,x,y,bedrock_altitude (m)
204,-1617999.8,-249499.72,-317.5473395361643
214,-1612999.8,-249499.72,-130.5950538883379
224,-1607999.8,-249499.72,-9.775720527909948
234,-1602999.8,-249499.72,-305.274932404706
244,-1597999.8,-249499.72,-539.8833032962175
254,-1592999.8,-249499.72,-774.0948498343415
264,-1587999.8,-249499.72,-1257.5310360503292
274,-1582999.8,-249499.72,-1299.2039754354537
284,-1577999.8,-249499.72,-1300.49088691439
294,-1572999.8,-249499.72,-1157.931520678917
304,-1567999.8,-249499.72,-1190.4325700575878
314,-1562999.8,-249499.72,-526.5014110471963
324,-1557999.8,-249499.72,-512.9444067585707
334,-1552999.8,-249499.72,-653.3872326314959
344,-1547999.8,-249499.72,-1090.4611743804342
354,-1542999.8,-249499.72,-902.1903545741663
364,-1537999.8,-249499.72,-1063.3701061085353
374,-1532999.8,-249499.72,-862.60108896526
384,-1527999.8,-249499.72,-700.2275419772499
394,-1522999.8,-249499.72,-721.4316437908528
403,-1618499.8,-248999.72,39.10453588843265
413,-1613499.8,-248999.72,-224.6121422078912
423,-1608499.8,-248999.72,-14.468567619102416
433,-1603499.8,-248999.72,-395.9638969354701
443,-1598499.8,-248999.72,-448.2076263305301
453,-1593499.8,-248999.72,-771.2585952018642
463,-1588499.8,-248999.72,-1209.2541419232732
473,-1583499.8,-248999.72,-1311.3913436622345
483,-1578499.8,-248999.72,-1290.880005790081
493,-1573499.8,-248999.72,-1118.9886524062604
503,-1568499.8,-248999.72,-1250.122752882278
513,-1563499.8,-248999.72,-694.1266719190472
523,-1558499.8,-248999.72,-510.4764390257068
533,-1553499.8,-248999.72,-793.1428354454785
543,-1548499.8,-248999.72,-831.9026596729225
553,-1543499.8,-248999.72,-959.6866664652586
563,-1538499.8,-248999.72,-1049.394153278098
573,-1533499.8,-248999.72,-724.4908209671627
583,-1528499.8,-248999.72,-854.3353907109685
593,-1523499.8,-248999.72,-792.0020670229318
602,-1618999.8,-248499.72,31.213376928401257
612,-1613999.8,-248499.72,-59.09470089986792
622,-1608999.8,-248499.72,-110.82730208685302
632,-1603999.8,-248499.72,-246.5123689948061
642,-1598999.8,-248499.72,-159.51522650750843
652,-1593999.8,-248499.72,-733.6501475986672
662,-1588999.8,-248499.72,-1227.458811583772
672,-1583999.8,-248499.72,-1285.188241379886
682,-1578999.8,-248499.72,-1302.1796244653688
692,-1573999.8,-248499.72,-1159.6976195505003
702,-1568999.8,-248499.72,-1160.3403905743708
712,-1563999.8,-248499.72,-859.2043717014002
722,-1558999.8,-248499.72,-429.6955638213875
732,-1553999.8,-248499.72,-783.740431669235
742,-1548999.8,-248499.72,-920.9000136803304
752,-1543999.8,-248499.72,-974.9655323789656
762,-1538999.8,-248499.72,-1028.213629236829
772,-1533999.8,-248499.72,-654.5387080575248
782,-1528999.8,-248499.72,-823.9485982776467
792,-1523999.8,-248499.72,-691.7842951267127
801,-1619499.8,-247999.72,185.80330461277111
811,-1614499.8,-247999.72,-331.1460415586697
821,-1609499.8,-247999.72,27.671168104197548
831,-1604499.8,-247999.72,-338.48987573538943
841,-1599499.8,-247999.72,-145.94263935125753
851,-1594499.8,-247999.72,-751.433196567891
861,-1589499.8,-247999.72,-1288.1372272946007
871,-1584499.8,-247999.72,-1344.219978471635
881,-1579499.8,-247999.72,-1253.8141066663106
891,-1574499.8,-247999.72,-1194.9606964173695
901,-1569499.8,-247999.72,-1149.5727485634727
911,-1564499.8,-247999.72,-1001.3545134833892
921,-1559499.8,-247999.72,-310.41961082031025
931,-1554499.8,-247999.72,-901.548788896264
941,-1549499.8,-247999.72,-914.5981841144078
951,-1544499.8,-247999.72,-932.334148977764
961,-1539499.8,-247999.72,-989.527641747801
971,-1534499.8,-247999.72,-787.8624974156533
981,-1529499.8,-247999.72,-843.9796128482169
991,-1524499.8,-247999.72,-598.9951657029845
1000,-1619999.8,-247499.72,46.63491925997658
1010,-1614999.8,-247499.72,-264.3659486885056
1020,-1609999.8,-247499.72,85.7974954548134
1030,-1604999.8,-247499.72,-547.6094398188177
1040,-1599999.8,-247499.72,-288.8955502253568
1050,-1594999.8,-247499.72,-635.1773691058831
1060,-1589999.8,-247499.72,-1161.9747332875927
1070,-1584999.8,-247499.72,-1318.681185051187
1080,-1579999.8,-247499.72,-1278.9005495788665
1090,-1574999.8,-247499.72,-1248.2142351504335
1100,-1569999.8,-247499.72,-1128.9550121181687
1110,-1564999.8,-247499.72,-822.1299524994664
1120,-1559999.8,-247499.72,-385.5023481029063
1130,-1554999.8,-247499.72,-795.3671460147978
1140,-1549999.8,-247499.72,-987.1050609290296
1150,-1544999.8,-247499.72,-861.6185902588713
1160,-1539999.8,-247499.72,-1010.8154747187708
