,x,y,bedrock_altitude (m)
5,-1617499.8,-249999.72,-100.54608476956348
15,-1612499.8,-249999.72,-377.05884540697474
25,-1607499.8,-249999.72,33.244519094491594
35,-1602499.8,-249999.72,-272.66092223394804
45,-1597499.8,-249999.72,-580.6998429104773
55,-1592499.8,-249999.72,-826.6800003650246
65,-1587499.8,-249999.72,-1204.0090306477528
75,-1582499.8,-249999.72,-1257.06006011535
85,-1577499.8,-249999.72,-1245.7473169113548
95,-1572499.8,-249999.72,-1120.1870170174834
105,-1567499.8,-249999.72,-1021.5317630489392
115,-1562499.8,-249999.72,-579.0261996160702
125,-1557499.8,-249999.72,-586.8560940036272
135,-1552499.8,-249999.72,-743.4198622759319
145,-1547499.8,-249999.72,-1104.2899409687266
155,-1542499.8,-249999.72,-894.2521878912273
165,-1537499.8,-249999.72,-1054.3359455584614
175,-1532499.8,-249999.72,-799.4999913642835
185,-1527499.8,-249999.72,-717.9591704416695
195,-1522499.8,-249999.72,-833.0221871584403
206,-1616999.8,-249499.72,-382.3692283258212
216,-1611999.8,-249499.72,-513.1625062656931
226,-1606999.8,-249499.72,-316.605380514008
236,-1601999.8,-249499.72,-216.21969225343292
246,-1596999.8,-249499.72,-715.1166541084907
256,-1591999.8,-249499.72,-1087.497132917524
266,-1586999.8,-249499.72,-1212.9491440325537
276,-1581999.8,-249499.72,-1296.7164247947846
286,-1576999.8,-249499.72,-1265.7219259412454
296,-1571999.8,-249499.72,-1151.9608192966443
306,-1566999.8,-249499.72,-1051.1314560903725
316,-1561999.8,-249499.72,-431.4000191842002
326,-1556999.8,-249499.72,-413.86665511119344
336,-1551999.8,-249499.72,-625.4286327638977
346,-1546999.8,-249499.72,-905.1624442540852
356,-1541999.8,-249499.72,-957.785943551458
366,-1536999.8,-249499.72,-1083.105712881361
376,-1531999.8,-249499.72,-761.0285749081788
386,-1526999.8,-249499.72,-677.6859936268916
396,-1521999.8,-249499.72,-681.739243180135
407,-1616499.8,-248999.72,-621.9329999009733
417,-1611499.8,-248999.72,-246.50020349759885
427,-1606499.8,-248999.72,-234.5580948866124
437,-1601499.8,-248999.72,-43.94455553191904
447,-1596499.8,-248999.72,-732.428338664869
457,-1591499.8,-248999.72,-1164.0056265811988
467,-1586499.8,-248999.72,-1256.016299002333
477,-1581499.8,-248999.72,-1301.096444496588
487,-1576499.8,-248999.72,-1276.7244877245862
497,-1571499.8,-248999.72,-1003.0948635422144
507,-1566499.8,-248999.72,-1145.0894596531243
517,-1561499.8,-248999.72,-356.4859369995341
527,-1556499.8,-248999.72,-373.2629320742108
537,-1551499.8,-248999.72,-762.3888734848936
547,-1546499.8,-248999.72,-940.706117674677
557,-1541499.8,-248999.72,-1008.9797288081865
567,-1536499.8,-248999.72,-1058.9504455835306
577,-1531499.8,-248999.72,-798.8979305706515
587,-1526499.8,-248999.72,-648.3196038639686
597,-1521499.8,-248999.72,-683.0683977625501
608,-1615999.8,-248499.72,-567.7049345670121
618,-1610999.8,-248499.72,-11.340243519092288
628,-1605999.8,-248499.72,-282.8239215785497
638,-1600999.8,-248499.72,-299.813027873547
648,-1595999.8,-248499.72,-696.4055384759587
658,-1590999.8,-248499.72,-1162.0611379682891
668,-1585999.8,-248499.72,-1283.348266025576
678,-1580999.8,-248499.72,-1290.2729495951185
688,-1575999.8,-248499.72,-1261.6121474489537
698,-1570999.8,-248499.72,-1113.8075651946544
708,-1565999.8,-248499.72,-930.2444514887892
718,-1560999.8,-248499.72,-31.439846127137464
728,-1555999.8,-248499.72,-484.3432702059142
738,-1550999.8,-248499.72,-948.1731686892238
748,-1545999.8,-248499.72,-879.8380851693205
758,-1540999.8,-248499.72,-1027.8785321642383
768,-1535999.8,-248499.72,-1014.032581869674
778,-1530999.8,-248499.72,-764.6916234887638
788,-1525999.8,-248499.72,-538.1804755338276
798,-1520999.8,-248499.72,-500.5852047429914
809,-1615499.8,-247999.72,-535.031149069046
819,-1610499.8,-247999.72,-113.5158754239378
829,-1605499.8,-247999.72,-416.09428885684366
839,-1600499.8,-247999.72,-417.2367034695532
849,-1595499.8,-247999.72,-729.1297393670623
859,-1590499.8,-247999.72,-1245.2430855440282
869,-1585499.8,-247999.72,-1183.384153289319
879,-1580499.8,-247999.72,-1233.0643459900894
889,-1575499.8,-247999.72,-1262.33849417517
899,-1570499.8,-247999.72,-1082.7866340074852
909,-1565499.8,-247999.72,-923.2291035000948
919,-1560499.8,-247999.72,-422.9461273695597
929,-1555499.8,-247999.72,-663.2029583925745
939,-1550499.8,-247999.72,-979.89233063068
949,-1545499.8,-247999.72,-821.3873306538472
959,-1540499.8,-247999.72,-979.6461864899736
969,-1535499.8,-247999.72,-969.6458595066604
979,-1530499.8,-247999.72,-847.7391762286078
989,-1525499.8,-247999.72,-614.746663364409
999,-1520499.8,-247999.72,-533.0174909985697
1000,-1619999.8,-247499.72,46.63491925997658
1010,-1614999.8,-247499.72,-264.3659486885056
1020,-1609999.8,-247499.72,85.7974954548134
1030,-1604999.8,-247499.72,-547.6094398188177
1040,-1599999.8,-247499.72,-288.8955502253568
1050,-1594999.8,-247499.72,-635.1773691058831
1060,-1589999.8,-247499.72,-1161.9747332875927
1070,-1584999.8,-247499.72,-1318.681185051187
1080,-1579999.8,-247499.72,-1278.9005495788665
1090,-1574999.8,-247499.72,-1248.2142351504335
1100,-1569999.8,-247499.72,-1128.9550121181687
1110,-1564999.8,-247499.72,-822.1299524994664
1120,-1559999.8,-247499.72,-385.5023481029063
1130,-1554999.8,-247499.72,-795.3671460147978
1140,-1549999.8,-247499.72,-987.1050609290296
1150,-1544999.8,-247499.72,-861.6185902588713
