,x,y,bedrock_altitude (m)
5,-1617499.8,-249999.72,-100.54608476956348
15,-1612499.8,-249999.72,-377.05884540697474
25,-1607499.8,-249999.72,33.244519094491594
35,-1602499.8,-249999.72,-272.66092223394804
45,-1597499.8,-249999.72,-580.6998429104773
55,-1592499.8,-249999.72,-826.6800003650246
65,-1587499.8,-249999.72,-1204.0090306477528
75,-1582499.8,-249999.72,-1257.06006011535
85,-1577499.8,-249999.72,-1245.7473169113548
95,-1572499.8,-249999.72,-1120.1870170174834
105,-1567499.8,-249999.72,-1021.5317630489392
115,-1562499.8,-249999.72,-579.0261996160702
125,-1557499.8,-249999.72,-586.8560940036272
135,-1552499.8,-249999.72,-743.4198622759319
145,-1547499.8,-249999.72,-1104.2899409687266
155,-1542499.8,-249999.72,-894.2521878912273
165,-1537499.8,-249999.72,-1054.3359455584614
175,-1532499.8,-249999.72,-799.4999913642835
185,-1527499.8,-249999.72,-717.9591704416695
195,-1522499.8,-249999.72,-833.0221871584403
205,-1617499.8,-249499.72,-420.618038603124
215,-1612499.8,-249499.72,-494.8516586705474
225,-1607499.8,-249499.72,-89.17273830904577
235,-1602499.8,-249499.72,-226.80309554026573
245,-1597499.8,-249499.72,-601.0454895101109
255,-1592499.8,-249499.72,-980.141417423931
265,-1587499.8,-249499.72,-1211.331178578845
275,-1582499.8,-249499.72,-1254.723028683747
285,-1577499.8,-249499.72,-1284.077943236853
295,-1572499.8,-249499.72,-1139.925664848447
305,-1567499.8,-249499.72,-1136.808037348672
315,-1562499.8,-249499.72,-553.0214133455947
325,-1557499.8,-249499.72,-483.5722920435832
335,-1552499.8,-249499.72,-676.6476872118808
345,-1547499.8,-249499.72,-976.1904246786124
355,-1542499.8,-249499.72,-935.542966464734
365,-1537499.8,-249499.72,-1069.161391233566
375,-1532499.8,-249499.72,-775.8375682026208
385,-1527499.8,-249499.72,-700.7250683280118
395,-1522499.8,-249499.72,-821.8910506001666
405,-1617499.8,-248999.72,-462.6857096778528
415,-1612499.8,-248999.72,-485.1898546000683
425,-1607499.8,-248999.72,43.35272245158481
435,-1602499.8,-248999.72,-474.0383455397831
445,-1597499.8,-248999.72,-660.1829323347838
455,-1592499.8,-248999.72,-972.242248735445
465,-1587499.8,-248999.72,-1203.6231745095508
475,-1582499.8,-248999.72,-1250.949946830028
485,-1577499.8,-248999.72,-1289.142943260909
495,-1572499.8,-248999.72,-1158.4560664470096
505,-1567499.8,-248999.72,-985.7442411138572
515,-1562499.8,-248999.72,-520.5127046528403
525,-1557499.8,-248999.72,-363.08385749714455
535,-1552499.8,-248999.72,-644.2413148775262
545,-1547499.8,-248999.72,-936.5916797084552
555,-1542499.8,-248999.72,-994.509209632333
565,-1537499.8,-248999.72,-1055.219604797806
575,-1532499.8,-248999.72,-711.1600108600245
585,-1527499.8,-248999.72,-717.3339401578439
595,-1522499.8,-248999.72,-749.7961634134148
605,-1617499.8,-248499.72,-445.3576251112709
615,-1612499.8,-248499.72,-479.0509286538115
625,-1607499.8,-248499.72,56.382467339842194
635,-1602499.8,-248499.72,-265.9998358640931
645,-1597499.8,-248499.72,-609.183778695476
655,-1592499.8,-248499.72,-855.9539213104257
665,-1587499.8,-248499.72,-1186.0191675476156
675,-1582499.8,-248499.72,-1295.2828319874343
685,-1577499.8,-248499.72,-1262.633446591992
695,-1572499.8,-248499.72,-1135.6853407529345
705,-1567499.8,-248499.72,-1051.7532832716886
715,-1562499.8,-248499.72,-544.404284267974
725,-1557499.8,-248499.72,-328.4258839344651
735,-1552499.8,-248499.72,-686.3117679945129
745,-1547499.8,-248499.72,-916.4961280292072
755,-1542499.8,-248499.72,-1010.4650306669612
765,-1537499.8,-248499.72,-1016.6442957612074
775,-1532499.8,-248499.72,-433.9291460299803
785,-1527499.8,-248499.72,-770.4492802654798
795,-1522499.8,-248499.72,-781.2588281275846
805,-1617499.8,-247999.72,-10.339563328944
815,-1612499.8,-247999.72,-80.59052306704177
825,-1607499.8,-247999.72,-49.01311684482045
835,-1602499.8,-247999.72,-480.6643857292892
845,-1597499.8,-247999.72,-427.1525584040732
855,-1592499.8,-247999.72,-770.8942993087286
865,-1587499.8,-247999.72,-1158.1838348190993
875,-1582499.8,-247999.72,-1289.7500074289144
885,-1577499.8,-247999.72,-1236.7960796762702
895,-1572499.8,-247999.72,-1163.262087662109
905,-1567499.8,-247999.72,-1012.8561117437984
915,-1562499.8,-247999.72,-597.6773912934059
925,-1557499.8,-247999.72,-22.733171980874623
935,-1552499.8,-247999.72,-876.2588573271978
945,-1547499.8,-247999.72,-882.2133049394208
955,-1542499.8,-247999.72,-985.8399624922588
965,-1537499.8,-247999.72,-941.4653826286412
975,-1532499.8,-247999.72,-676.1533114044815
985,-1527499.8,-247999.72,-819.2066575927807
995,-1522499.8,-247999.72,-658.3789446668928
1005,-1617499.8,-247499.72,63.03219519764158
1015,-1612499.8,-247499.72,-216.50280092789936
1025,-1607499.8,-247499.72,-58.8460499096222
1035,-1602499.8,-247499.72,-504.43015622162295
1045,-1597499.8,-247499.72,-409.3456793517884
1055,-1592499.8,-247499.72,-953.3310359123572
1065,-1587499.8,-247499.72,-1139.936409459374
1075,-1582499.8,-247499.72,-1290.2019337042957
1085,-1577499.8,-247499.72,-1213.6513863972334
1095,-1572499.8,-247499.72,-1130.4450770047504
1105,-1567499.8,-247499.72,-1016.666256270294
1115,-1562499.8,-247499.72,-618.9737704305875
1125,-1557499.8,-247499.72,-299.2105592187964
1135,-1552499.8,-247499.72,-829.9630326583771
1145,-1547499.8,-247499.72,-845.1250160709318
1155,-1542499.8,-247499.72,-971.693722094066
